"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"CATEGORY";"CREATED_BY";"DESCRIPTION";"DIGIKEY";"HEIGHT";"MANUFACTURE";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMP";"PART_STATUS";"POPULARITY";"QUANITY";"ROHS_COMPLIANT";"SERIES";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TYPE";"VALUE";
"2";" ";"EDGE-LIBRARY_RESISTOR0805";"EDGE-LIBRARY_0805";"R34, R35";"Generic Resistor Package";"";"";"";"";"";"311-0.0ARCT-ND";"";"";"";"";"";"";"";"";"";"RC0805JR-070RL";"";"";"";"";"";"";"";"";"";"";"";"";" ";
"28";"0.1uF";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60";"C2, C3, C8, C9, C28, C29, C30, C33, C34, C35, C36, C37, C38, C43, C45, C56, C57, C59, C60, C61, C62, C63, C65, C66, C67, C74, C78, C94";"Capacitor - Generic";"";"";"";"";"";"399-3521-1-ND";"";"";"Kemet";"";"";"";"";"";"";"C0402C104K4RACTU";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10.5k";"EDGE-LIBRARY_TUTORIAL---FUSION-360_R-USCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40";"R10";"Resistor Fixed - ANSI";"";"";"";"";"";"YAG2951CT-ND";"";"";"Yageo";"";"";"";"";"";"";"RC0402FR-0710K5L";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"10000pF";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60";"C6, C7, C42, C75, C95";"Capacitor - Generic";"";"";"";"";"";"1253-CM02X5R103M16AHCT-ND";"";"";"AVX Corporation";"";"";"";"";"";"";"CM02X5R103M16AH";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100uF";"875015119003";"CAPPM7343X200N";"C23";"Wurth Elektronik 100uF 6.3V dc Aluminium Polymer Capacitor, Surface Mount 7.3 x 4.3 x 1.9mm +105C 7.3mm";"";"";"";"";"";"732-13327-1-nd";"";"";"Wurth Elektronik";"";"";"";"710-875015119003";"";"";"875015119003";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"10k";"EDGE-LIBRARY_TUTORIAL---FUSION-360_R-USCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40";"R9, R33, R40, R51, R53, R55";"Resistor Fixed - ANSI";"";"";"";"";"";"2571-RM04J103CTTR-ND";"";"";"CAL-CHIP ELECTRONICS, INC.";"";"";"";"";"";"";"RM04J103CT";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10pF";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60";"C44";"Capacitor - Generic";"";"";"";"";"";"399-3521-1-ND";"";"";"Kyocera Avx";"";"";"";"";"";"";"478-04026D100JAT2ACT-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13";"10uF";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CCHIP-0805(2012-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC2012X110";"C4, C5, C10, C25, C26, C27, C31, C32, C41, C47, C64, C76, C96";"Capacitor - Generic";"";"";"";"";"";"490-14381-1-ND";"";"";"Murata Electronics";"";"";"";"";"";"";"GRM21BR71A106KA73K";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"115k";"EDGE-LIBRARY_TUTORIAL---FUSION-360_R-USCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40";"R14, R28";"Resistor Fixed - ANSI";"";"";"";"";"";"A127517CT-ND";"";"";"TE Connectivity";"";"";"";"";"";"";"RP73PF1E115KBTD";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"12k";"EDGE-LIBRARY_TUTORIAL---FUSION-360_R-USCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40";"R52";"Resistor Fixed - ANSI";"";"";"";"";"";"311-12.0KLRCT-ND";"";"";"Stackpole Electronics Inc";"";"";"";"";"";"";"RC0402FR-0712KL";"";"";"";"";"";"";"";"";"";"";"";"";"";
